transaction_id	company_id	material_id	quantity	price_per_unit	discount_rate	total_price	transaction_date	notes
74860229	08184297	86977837	291	800	1	230470	1959-06-29	Contractual rebate - small percentage off (1%)
13334298	19030448	68480503	55	800	0	44000	2020-07-22	
85724846	58542299	56629388	325	200	0	65000	2019-05-15	
04346803	51554249	72394227	65	200	0	13000	2024-06-22	
97911208	75529600	87775215	254	600	0	152400	2024-04-23	
78836922	44461448	27326368	146	2300	0	335800	2024-09-22	
37573247	41575208	97739173	96	500	3	46560	2024-04-29	Seasonal discount - small percentage off (3%)
00045306	27582061	87705310	436	25000	5	10355000	2023-08-20	Early payment discount - small percentage off (5%)
68998115	59486880	76994505	229	700	0	160300	2019-08-11	
76880692	37749336	32868828	69	2400	2	162290	2019-12-07	Promotional offer - small percentage off (2%)
98147404	61105967	88753260	394	10500	0	4137000	2020-07-27	
60505150	41143473	85320121	144	1400	3	195550	2025-07-29	Special pricing for repeat client - small percentage off (3%)
30629868	47379714	63440831	203	300	0	60900	2019-09-04	
68076214	34823107	22162965	190	100	0	19000	2020-10-16	
80835372	89308086	87971488	399	1200	0	478800	2023-10-07	
13656832	02051123	53826716	51	3100	6	148610	2019-05-13	End-of-quarter promotion - negotiated discount (6%) due to order size
79953368	64990728	07634247	155	1500	2	227850	2025-04-28	End-of-quarter promotion - small percentage off (2%)
58120383	41251306	06729990	183	7000	0	1281000	2025-01-04	
88082154	53918909	17566185	441	100	20	35280	2019-09-04	Bulk order discount - significant discount (20%) for promotional/clearance
88419364	82336798	22162965	46	100	15	3910	2019-02-14	Special pricing for repeat client - significant discount (15%) for promotional/clearance
57357585	46970294	72340307	79	200	6	14850	2019-06-16	Volume rebate - negotiated discount (6%) due to order size
41244679	36648250	71286543	271	400	0	108400	2021-07-20	
34304939	89675545	96495269	176	300	2	51740	2022-03-07	Special pricing for repeat client - small percentage off (2%)
44414440	75732744	88753260	99	10900	2	1057520	2025-05-23	Volume rebate - small percentage off (2%)
63049749	39834872	72909480	76	400	3	29490	2021-02-10	Promotional offer - small percentage off (3%)
07706606	45753143	43507489	353	1000	0	353000	2019-05-19	
65778714	32120654	62820592	90	200	0	18000	2019-08-30	
84747074	09849905	09121552	25	2600	0	65000	2024-12-06	
20016369	44987090	72772208	305	600	0	183000	2021-08-07	
49022973	36327134	31944441	147	2200	0	323400	2020-03-05	
40889659	75096347	21172421	348	100	0	34800	2022-02-15	
85041279	15335434	98046763	119	4400	0	523600	2019-07-20	
72189242	18737928	64606833	345	5600	0	1932000	2021-08-09	
16028625	02657876	10576383	342	400	3	132700	2018-03-18	Clearance sale - small percentage off (3%)
10673908	27582061	96125636	472	200	8	86850	2018-01-19	Bulk order discount - negotiated discount (8%) due to order size
97219925	66981969	87734795	89	500	3	43160	2020-10-29	Bulk order discount - small percentage off (3%)
16472590	83564711	96102525	400	200	1	79200	2020-05-27	Special pricing for repeat client - small percentage off (1%)
58192506	70973120	84214382	412	100	7	38320	2020-02-25	Loyal customer - negotiated discount (7%) due to order size
58614358	95747690	96733645	94	400	4	36100	2019-05-31	Clearance sale - small percentage off (4%)
21469780	17183738	72556484	291	3000	3	846810	2020-09-21	Clearance sale - small percentage off (3%)
75360866	60560626	87225156	428	800	14	294460	1962-02-18	Clearance sale - significant discount (14%) for promotional/clearance
05282104	60712566	38840994	37	100	0	3700	2021-08-15	
14702693	46922794	88447167	101	100	4	9700	2022-10-07	Special pricing for repeat client - small percentage off (4%)
79136575	44482226	88550256	307	2600	7	742330	2018-02-04	Bulk order discount - negotiated discount (7%) due to order size
55756967	28328790	94541560	187	600	9	102100	2022-11-21	Volume rebate - negotiated discount (9%) due to order size
66227135	76938129	87705310	149	25000	0	25000	2018-07-30	
99861698	74683602	12388090	138	200	0	27600	2023-04-08	
47090070	55878719	88753260	227	10700	0	2428900	2020-02-25	
72937629	92180085	57854710	119	1500	0	178500	2020-08-27	
67907865	09766863	81415657	262	600	5	149340	2022-07-14	Loyal customer - small percentage off (5%)
93888842	06008038	35575298	21	100	0	100	2024-02-11	
43082092	78031061	74252722	377	700	2	258620	2021-10-01	Clearance sale - small percentage off (2%)
80588377	70967023	14665841	169	900	0	152100	2021-11-05	
17540447	18347887	19175900	275	100	1	27220	2018-10-21	Early payment discount - small percentage off (1%)
22440610	95217836	75563727	324	100	14	27860	2022-09-18	Special pricing for repeat client - significant discount (14%) for promotional/clearance
09558879	32607810	26687537	79	1700	1	132960	2024-03-24	End-of-quarter promotion - small percentage off (1%)
28239201	53428073	97969689	130	300	3	37830	2020-05-14	Loyal customer - small percentage off (3%)
28821367	86773256	96917555	87	100	20	6960	2022-02-11	End-of-quarter promotion - significant discount (20%) for promotional/clearance
37037038	36648250	87529405	458	22900	0	10488200	2020-07-01	
13607631	81344051	42091325	374	2500	2	916300	1972-03-24	End-of-quarter promotion - small percentage off (2%)
04775707	46447415	60291817	94	100	0	9400	2025-07-22	
50354788	72764896	77490893	304	100	0	30400	2022-11-17	
84063995	74287939	67005685	65	400	1	25740	2020-08-08	Early payment discount - small percentage off (1%)
56573514	22545149	85822412	432	2000	18	708480	2023-05-10	Volume rebate - significant discount (18%) for promotional/clearance
11484816	51554249	92363534	450	100	2	44100	2018-12-13	Loyal customer - small percentage off (2%)
33983513	59866571	22162965	347	100	0	34700	2018-08-18	
75122277	31481830	50992979	220	1100	12	212960	2023-11-29	Bulk order discount - significant discount (12%) for promotional/clearance
29047284	64099642	31726318	211	4100	0	865100	2021-04-02	
79736022	99343587	46843172	140	2400	0	336000	2023-05-05	
43483232	71949391	09510312	394	200	0	78800	2018-11-29	
22089478	19838503	96356822	418	100	16	100	2019-10-18	Special pricing for repeat client - significant discount (16%) for promotional/clearance
54808518	17065579	37308985	329	100	3	31910	1959-07-02	End-of-quarter promotion - small percentage off (3%)
43893521	18610326	80801586	25	2200	5	52250	2020-08-17	Special pricing for repeat client - small percentage off (5%)
16330483	63526268	91744214	259	300	0	77700	2022-10-06	
64084350	52471528	40181935	154	1900	9	266270	2020-05-23	Clearance sale - negotiated discount (9%) due to order size
36940823	61378665	73793389	35	100	15	2980	2024-10-19	Bulk order discount - significant discount (15%) for promotional/clearance
26232068	46447415	94566031	486	7100	0	3450600	2019-10-16	
44178291	39529135	37243083	109	200	0	21800	2019-03-30	
99851051	25049231	76460539	447	100	9	40680	2021-01-08	Seasonal discount - negotiated discount (9%) due to order size
01808267	01673623	28609087	404	200	11	71910	2020-04-22	Bulk order discount - significant discount (11%) for promotional/clearance
51148696	13341355	04111451	485	100	0	48500	2025-02-20	
39387785	51794209	28609087	454	200	8	83540	2022-06-17	Early payment discount - negotiated discount (8%) due to order size
30639978	44519087	96423126	161	1100	20	141680	2024-09-12	Loyal customer - significant discount (20%) for promotional/clearance
95125068	49485578	85511909	109	3000	0	327000	2023-06-25	
42962667	19310451	97969689	187	300	20	44880	2023-02-21	Bulk order discount - significant discount (20%) for promotional/clearance
26495097	27644530	28609087	106	200	0	21200	2021-12-31	
10918217	15984815	45176955	166	500	8	76360	2020-02-27	Clearance sale - negotiated discount (8%) due to order size
92935387	79747978	12201654	206	1100	0	226600	2020-02-11	
15569334	57130926	88231132	394	500	5	187150	2021-04-19	Early payment discount - small percentage off (5%)
30704484	74638860	96733645	382	300	0	114600	2024-07-19	
92726531	57328375	71498611	490	1800	0	882000	1972-01-24	
91838661	07324017	42091325	362	2400	4	834050	2024-07-14	Early payment discount - small percentage off (4%)
