"ItemID","POID","MaterialID","Quantity","UnitPrice"
1,3430,"28270233",454,2900.00
2,1759,"83131979",295,2900.00
3,2527,"10752378",26,25000.00
4,4099,"50992979",302,1100.00
5,558,"56851760",105,400.00
6,1940,"01297845",331,100.00
7,4366,"33704923",352,2000.00
8,1760,"46020613",297,1200.00
9,3194,"01049999",143,200.00
10,810,"58353204",163,900.00
11,4892,"25487660",469,2900.00
12,2364,"35594597",199,200.00
13,389,"01049999",78,200.00
14,4203,"38250360",365,100.00
15,3195,"73863413",147,200.00
16,3509,"88550256",451,2300.00
17,4449,"65181648",457,2200.00
18,4204,"27326368",136,2300.00
19,4367,"85320121",466,1400.00
20,1086,"42091325",483,2500.00
21,4368,"50929647",318,300.00
22,1671,"31227216",373,700.00
23,2528,"83370583",465,500.00
24,2927,"03356886",407,400.00
25,1345,"10752378",177,25000.00
26,1761,"22321899",190,3700.00
27,2617,"33704923",34,2000.00
28,1941,"28898923",370,100.00
29,3027,"37338124",32,1300.00
30,3270,"53121477",371,100.00
31,2201,"09121552",228,2600.00
32,3109,"23978249",314,2500.00
33,1087,"07634247",99,1500.00
34,3746,"11668732",384,100.00
35,4010,"32035886",179,100.00
36,2529,"97739173",53,500.00
37,4205,"38840994",263,100.00
38,4100,"87529405",404,22900.00
39,3271,"09233013",497,5400.00
40,3510,"61367643",167,100.00
41,4101,"58800797",204,100.00
42,4983,"40181935",359,1900.00
43,1514,"42169044",148,100.00
44,3272,"79795010",135,1100.00
45,2928,"06818112",55,1900.00
46,1255,"35935572",37,100.00
47,4614,"65579548",269,900.00
48,1591,"18728463",347,2800.00
49,311,"53606628",306,5000.00
50,2279,"21227574",477,14600.00
51,4530,"89949389",364,2900.00
52,1850,"51220073",114,21000.00
53,1428,"61662963",361,2200.00
54,3110,"04265799",352,2700.00
55,1592,"73863413",369,200.00
56,232,"12981052",162,2300.00
57,390,"96316277",75,4500.00
58,3431,"21130263",149,400.00
59,4450,"78961459",177,1400.00
60,3196,"09289546",161,2800.00
61,3828,"85125977",489,3800.00
62,3926,"08883684",288,100.00
63,4206,"95690391",188,1000.00
64,3197,"74093639",430,100.00
65,4011,"08883684",442,100.00
66,3198,"77736262",480,1400.00
67,1346,"97861742",138,300.00
68,638,"05334035",174,200.00
69,2008,"73197857",154,100.00
70,2850,"89639081",370,2500.00
71,391,"28609087",404,200.00
72,392,"31944441",55,2500.00
73,639,"67827638",408,1700.00
74,4369,"09528530",325,4800.00
75,2929,"26697396",412,100.00
76,4717,"60211891",332,5200.00
77,1515,"28754377",237,400.00
78,1851,"78979095",353,500.00
79,3356,"11668732",54,100.00
80,2101,"74045292",301,2100.00
81,2365,"61510041",98,100.00
82,3511,"07507864",410,200.00
83,3028,"32857966",148,700.00
84,1429,"80388981",477,500.00
85,1,"32329237",167,3500.00
86,1762,"53826716",447,3100.00
87,4893,"88753260",489,10900.00
88,2202,"39823450",158,2900.00
89,1171,"50806024",47,1300.00
90,3199,"41273847",163,3400.00
91,4984,"06323852",46,2300.00
92,393,"89639081",172,2500.00
93,3580,"29958838",246,500.00
94,481,"58812137",65,100.00
95,4806,"12575562",54,400.00
96,2618,"25714784",143,500.00
97,640,"94566031",499,6900.00
98,3927,"87226012",338,400.00
99,2530,"33101783",470,800.00
100,811,"96423126",471,1100.00
101,1942,"55177213",146,100.00
102,812,"14942603",82,200.00
103,4451,"85125977",53,3800.00
104,4807,"75283645",251,300.00
105,1000,"09832887",273,100.00
106,4370,"89038526",81,600.00
107,2754,"17232410",26,700.00
108,2930,"87971488",129,1300.00
109,4615,"72909480",257,400.00
110,3029,"89639081",275,2500.00
111,813,"04265799",296,2500.00
112,233,"73863413",339,200.00
113,2,"35650176",380,200.00
114,1943,"71971316",151,1300.00
115,641,"73197857",225,100.00
116,559,"45657579",214,1400.00
117,4985,"87225156",444,800.00
118,3,"35431319",492,2500.00
119,4452,"42235350",418,800.00
120,4808,"33704923",146,2000.00
121,3747,"86977837",364,700.00
122,2203,"28754377",102,400.00
123,394,"44349361",154,500.00
124,2102,"89639081",362,2500.00
125,2204,"88231132",307,500.00
126,2103,"71971316",63,1200.00
127,3432,"72556484",158,3000.00
128,1430,"81756179",350,300.00
129,720,"56623995",278,500.00
130,2931,"56792612",483,100.00
131,159,"24941004",429,300.00
132,3748,"61586053",373,3200.00
133,160,"22162965",368,100.00
134,482,"75563727",209,100.00
135,814,"81415657",58,600.00
136,3654,"96423126",151,1100.00
137,1516,"99645480",392,100.00
138,4207,"03356886",158,300.00
139,4718,"50185867",64,500.00
140,3111,"25529407",198,1600.00
141,1593,"72070937",429,2800.00
142,815,"80801586",489,2300.00
143,3581,"00435578",423,1200.00
144,4986,"96733645",348,300.00
145,2104,"92274302",350,500.00
146,4371,"73140807",264,400.00
147,2009,"97942942",166,100.00
148,4102,"07901903",260,1600.00
149,1852,"58353204",450,900.00
150,312,"16090908",357,100.00
151,3512,"98748972",449,2300.00
152,4719,"24941004",160,300.00
153,560,"74752529",147,700.00
154,1944,"40264926",235,4800.00
155,1347,"68137358",426,600.00
156,2755,"13419256",43,400.00
157,1001,"21429110",79,2700.00
158,1172,"99529223",478,700.00
159,4372,"17778019",45,200.00
160,4453,"18814949",337,6100.00
161,2105,"02614124",159,300.00
162,161,"21687165",408,3000.00
163,4894,"53551839",373,100.00
164,3749,"36553958",475,900.00
165,816,"14366125",402,200.00
166,3433,"35575298",32,100.00
167,4809,"89889098",457,100.00
168,2451,"22162965",317,100.00
169,2366,"61510041",461,100.00
170,483,"88447167",235,100.00
171,4810,"37295260",398,2600.00
172,642,"89038526",389,600.00
173,817,"12981052",301,2500.00
174,2619,"24627347",446,100.00
175,4616,"42235350",450,1000.00
176,4281,"94196727",284,6200.00
177,1431,"67491435",347,400.00
178,643,"96102525",82,500.00
179,1256,"24627347",188,100.00
180,2932,"48718453",71,3000.00
181,1594,"09335534",345,1400.00
182,2106,"79864260",100,100.00
183,2933,"87775215",271,600.00
184,1257,"64606833",163,5600.00
185,3582,"87971488",245,1200.00
186,1763,"45667651",218,100.00
187,2367,"70166708",97,100.00
188,3583,"67827638",342,1600.00
189,1517,"09196777",362,500.00
190,2010,"17232410",406,600.00
191,1764,"51019678",136,700.00
192,2756,"12660194",184,100.00
193,2757,"85758349",131,2600.00
194,1258,"25556386",319,1300.00
195,721,"86282117",174,3600.00
196,1173,"28609087",185,200.00
197,1853,"74437458",444,2000.00
198,2934,"78320463",428,3500.00
199,4373,"17778019",362,200.00
200,2107,"07774584",324,5300.00
201,1765,"21687165",306,3000.00
202,3584,"35159040",211,1700.00
203,1672,"85132217",461,700.00
204,1854,"97861742",265,300.00
205,4617,"97739173",355,500.00
206,1348,"11496211",337,1800.00
207,1088,"96102525",346,300.00
208,4987,"54193837",74,2800.00
209,3112,"72394227",85,100.00
210,1002,"33528453",221,19800.00
211,916,"67898694",256,200.00
212,3030,"79864260",66,100.00
213,4208,"88550256",357,2600.00
214,4720,"99645480",108,100.00
215,3200,"29219319",372,2100.00
216,2531,"40181935",60,1900.00
217,2532,"21172421",245,100.00
218,3585,"35551614",424,100.00
219,644,"17758595",476,400.00
220,3655,"14716857",470,7500.00
221,3829,"63440831",278,300.00
222,2758,"63481353",127,35000.00
223,4103,"80388981",250,500.00
224,4988,"30158366",43,100.00
225,3031,"94713081",311,3000.00
226,4282,"65151231",211,800.00
227,4895,"62043515",333,2200.00
228,4721,"31244663",351,1500.00
229,2851,"77701200",143,2000.00
230,80,"00475894",446,100.00
231,2686,"29958838",485,500.00
232,4618,"38285503",391,2300.00
233,2533,"61367643",144,100.00
234,3032,"09583482",200,2700.00
235,1595,"37135391",248,1400.00
236,2368,"91887369",261,100.00
237,2369,"89639081",165,2500.00
238,2205,"51642594",330,100.00
239,2370,"40603163",41,800.00
240,818,"39392920",282,200.00
241,2280,"94130244",362,400.00
242,2371,"27326368",75,2300.00
243,1432,"68159587",374,4000.00
244,2620,"10576383",313,400.00
245,3113,"94196727",172,5000.00
246,2372,"33704923",475,2000.00
247,4811,"31244663",383,1400.00
248,2281,"62820592",462,200.00
249,2011,"90625494",490,2500.00
250,234,"33273328",309,100.00
251,2935,"72383095",494,200.00
252,2373,"33528453",73,19800.00
253,2852,"13556182",405,100.00
254,1766,"38285503",29,2300.00
255,313,"68159587",302,4000.00
256,2853,"08181586",396,900.00
257,1003,"69467853",210,100.00
258,3656,"62043515",450,1700.00
259,2687,"00965138",378,1200.00
260,4012,"02614124",189,300.00
261,2854,"96733645",475,400.00
262,3928,"37338124",350,1500.00
263,2936,"43524491",316,2400.00
264,917,"41273847",367,4200.00
265,2374,"82097999",149,100.00
266,3114,"94427530",149,100.00
267,1855,"67491435",500,400.00
268,1089,"82097999",252,100.00
269,918,"89889098",273,100.00
270,819,"03561597",412,100.00
271,1090,"33046464",308,400.00
272,820,"81734598",328,3500.00
273,2688,"42339391",58,300.00
274,314,"28427073",76,100.00
275,2937,"20868105",442,200.00
276,4454,"92747083",156,400.00
277,3357,"75345555",334,5000.00
278,235,"47553014",346,100.00
279,1673,"92592466",110,2500.00
280,821,"48537831",288,400.00
281,4989,"54193837",245,2800.00
282,3586,"02614124",382,300.00
283,1856,"96733645",208,400.00
284,3830,"11668732",188,100.00
285,3750,"90152297",257,200.00
286,3115,"21172421",236,100.00
287,3929,"18024248",147,1800.00
288,3033,"36231783",236,100.00
289,1174,"99529223",214,900.00
290,3358,"09121552",467,2600.00
291,4455,"81734598",175,3500.00
292,2375,"81415657",290,600.00
293,1349,"17232410",487,700.00
294,3116,"09289546",121,2700.00
295,3513,"35575298",232,100.00
296,236,"17566185",372,100.00
297,3657,"60897765",464,100.00
298,2689,"12388090",24,200.00
299,2938,"92363534",385,100.00
300,3117,"10099059",82,400.00
301,645,"13903144",462,100.00
302,4456,"72374753",376,3400.00
303,722,"35594597",259,200.00
304,2759,"18814949",404,4800.00
305,1596,"85125977",334,3800.00
306,3930,"24627347",446,100.00
307,484,"60897765",464,100.00
308,3118,"58800797",176,100.00
309,4619,"30158366",74,100.00
310,81,"84214382",424,100.00
311,2376,"45667651",348,100.00
312,2939,"12517517",21,2400.00
313,2206,"39349722",74,4200.00
314,4104,"61510041",284,100.00
315,395,"99486328",484,800.00
316,2940,"29476249",390,800.00
317,4896,"32035886",425,100.00
318,4105,"09583482",255,2400.00
319,237,"01049999",301,200.00
320,4722,"56629388",441,200.00
321,4457,"28898923",90,100.00
322,1674,"45540424",249,100.00
323,1518,"78961459",491,1400.00
324,919,"89038526",284,600.00
325,2282,"85822412",204,2300.00
326,2534,"37308985",137,100.00
327,1597,"28688676",28,8700.00
328,1175,"32035886",122,100.00
329,723,"21682744",198,400.00
330,2690,"85125977",221,3800.00
331,646,"09121552",183,2600.00
332,3434,"33744231",439,400.00
333,1433,"86637649",175,1600.00
334,4,"09583482",480,2200.00
335,561,"81415657",276,600.00
336,3587,"10099059",453,400.00
337,1598,"89639081",177,2500.00
338,2377,"67827638",479,700.00
339,315,"72160068",131,100.00
340,4812,"96593904",36,1900.00
341,3588,"32868828",238,2400.00
342,3931,"82097999",71,100.00
343,2760,"71691040",218,100.00
344,4620,"85125977",91,3800.00
345,4106,"88550256",66,2700.00
346,3435,"81415657",478,600.00
347,4013,"35575298",346,100.00
348,4723,"42091325",431,2300.00
349,1434,"07849494",323,2900.00
350,3658,"45176955",500,500.00
351,2108,"16090908",131,100.00
352,647,"03356886",416,200.00
353,4897,"08135295",254,500.00
354,4374,"58353204",399,900.00
355,724,"81756179",342,200.00
