"POID","ContractorID","ProjectID","SupplierID","OrderDate","Status","TotalAmount"
1,1,,"00160690","2020-01-18 00:00:00",Completed,543580.00
2,1,,"00160690","2022-03-05 00:00:00",Completed,72200.00
3,1,,"00160690","2025-05-29 00:00:00",Completed,1230000.00
4,1,,"00160690","2023-07-26 00:00:00",Completed,1045440.00
5,1,,"00160690","2024-06-16 00:00:00",Completed,3740.00
6,1,,"00160690","2024-07-17 00:00:00",Completed,99230.00
7,1,,"00160690","2021-04-10 00:00:00",Completed,9700.00
8,1,,"00160690","2019-11-02 00:00:00",Completed,181450.00
9,1,,"00160690","2021-02-24 00:00:00",Completed,86640.00
10,1,,"00160690","2021-06-03 00:00:00",Completed,173420.00
11,1,,"00160690","2022-10-31 00:00:00",Completed,627660.00
12,1,,"00160690","2024-06-21 00:00:00",Completed,33000.00
13,1,,"00160690","2024-03-30 00:00:00",Completed,1491420.00
14,1,,"00160690","2021-03-25 00:00:00",Completed,87220.00
15,1,,"00160690","2018-06-14 00:00:00",Completed,20920.00
16,1,,"00160690","2018-05-27 00:00:00",Completed,124460.00
17,1,,"00160690","2024-03-04 00:00:00",Completed,1837700.00
18,1,,"00160690","2022-08-13 00:00:00",Completed,165600.00
19,1,,"00160690","2023-03-07 00:00:00",Completed,247100.00
20,1,,"00160690","2020-02-01 00:00:00",Completed,544450.00
21,1,,"00160690","2025-07-15 00:00:00",Completed,7760.00
22,1,,"00160690","2018-05-28 00:00:00",Completed,5600.00
23,1,,"00160690","2023-03-07 00:00:00",Completed,65860.00
24,1,,"00160690","2018-03-14 00:00:00",Completed,4510.00
25,1,,"00160690","2021-10-23 00:00:00",Completed,5900.00
26,1,,"00160690","2018-08-16 00:00:00",Completed,390420.00
27,1,,"00160690","2020-09-19 00:00:00",Completed,43710.00
28,1,,"00160690","2024-09-18 00:00:00",Completed,172980.00
29,1,,"00160690","2022-09-04 00:00:00",Completed,128060.00
30,1,,"00160690","2021-11-23 00:00:00",Completed,46930.00
31,1,,"00160690","2019-03-06 00:00:00",Completed,16320.00
32,1,,"00160690","2025-01-24 00:00:00",Completed,29480.00
33,1,,"00160690","2020-01-26 00:00:00",Completed,50000.00
34,1,,"00160690","2023-10-25 00:00:00",Completed,91010.00
35,1,,"00160690","2022-09-01 00:00:00",Completed,16200.00
36,1,,"00160690","2022-12-28 00:00:00",Completed,197600.00
37,1,,"00160690","2022-09-27 00:00:00",Completed,678400.00
38,1,,"00160690","2023-04-18 00:00:00",Completed,15260.00
39,1,,"00160690","2019-11-10 00:00:00",Completed,468580.00
40,1,,"00160690","2025-04-03 00:00:00",Completed,123360.00
41,1,,"00160690","2019-04-25 00:00:00",Completed,67540.00
42,1,,"00160690","2021-11-30 00:00:00",Completed,25200.00
43,1,,"00160690","2019-04-08 00:00:00",Completed,300.00
44,1,,"00160690","2020-08-15 00:00:00",Completed,34890.00
45,1,,"00160690","2021-10-29 00:00:00",Completed,201600.00
46,1,,"00160690","2019-09-29 00:00:00",Completed,241110.00
47,1,,"00160690","2023-04-27 00:00:00",Completed,210000.00
48,1,,"00160690","2025-04-09 00:00:00",Completed,425480.00
49,1,,"00160690","2020-04-24 00:00:00",Completed,39800.00
50,1,,"00160690","2021-04-06 00:00:00",Completed,700.00
51,1,,"00160690","2024-09-21 00:00:00",Completed,514700.00
52,1,,"00160690","2021-07-11 00:00:00",Completed,1060800.00
53,1,,"00160690","2025-04-11 00:00:00",Completed,189420.00
54,1,,"00160690","2019-10-26 00:00:00",Completed,18520.00
55,1,,"00160690","2022-01-07 00:00:00",Completed,644190.00
56,1,,"00160690","2023-08-23 00:00:00",Completed,31600.00
