"transaction_id","company_id","material_id","quantity","price_per_unit","discount_rate","total_price","transaction_date","notes"
"00002717","23954042","28119557",99.00,1900.00,0,188100.00,"2023-12-29",""
"00003465","18610326","14665841",139.00,900.00,3,121350.00,"2021-08-09",Bulk order discount - small percentage off (3%)
"00009579","87393975","05831819",382.00,100.00,0,38200.00,"2023-12-07",""
"00013710","74768085","08883684",474.00,100.00,0,47400.00,"2024-02-13",""
"00016939","78160387","46843172",214.00,2400.00,0,513600.00,"2019-02-02",""
"00017306","09403603","28270233",454.00,2900.00,0,1316600.00,"2024-01-05",""
"00017394","15113365","37338124",290.00,1100.00,0,319000.00,"2021-06-01",""
"00017755","98602227","05917225",462.00,2200.00,7,945250.00,"2019-03-26",Bulk order discount - negotiated discount (7%) due to order size
"00019839","23033448","13756669",413.00,400.00,0,165200.00,"2020-04-30",""
"00024308","90252129","75345555",360.00,5000.00,7,1674000.00,"2018-05-19",Clearance sale - negotiated discount (7%) due to order size
"00025165","39354513","96423126",87.00,1100.00,5,90920.00,"2025-06-10",Loyal customer - small percentage off (5%)
"00025771","33689976","49684848",266.00,2100.00,1,553010.00,"2019-08-29",Seasonal discount - small percentage off (1%)
"00026454","29422168","98847493",89.00,100.00,0,8900.00,"2022-06-26",""
"00028051","41143473","77490893",406.00,100.00,0,40600.00,"2023-04-04",""
"00032334","29422168","09832887",230.00,100.00,0,23000.00,"2021-12-19",""
"00033147","91962950","01540956",145.00,600.00,1,86130.00,"2022-12-14",End-of-quarter promotion - small percentage off (1%)
"00035181","49722223","85320121",142.00,1400.00,3,192840.00,"2023-12-28",Volume rebate - small percentage off (3%)
"00037564","26215360","22097220",152.00,2800.00,4,408580.00,"2019-12-08",Early payment discount - small percentage off (4%)
"00037871","15984815","14716857",214.00,7500.00,0,1605000.00,"2025-07-13",""
"00041243","05758218","83131979",295.00,2900.00,0,855500.00,"2020-06-20",""
"00041402","49131016","29476249",264.00,900.00,0,237600.00,"2024-11-15",""
"00045026","07501258","10752378",26.00,25000.00,0,25000.00,"2022-11-24",""
"00045306","27582061","87705310",436.00,25000.00,5,10355000.00,"2023-08-20",Early payment discount - small percentage off (5%)
"00046201","44398217","06323852",154.00,1900.00,7,1900.00,"2019-03-11",Promotional offer - negotiated discount (7%) due to order size
"00047196","92856267","72772208",85.00,600.00,6,47940.00,"2021-06-03",Loyal customer - negotiated discount (6%) due to order size
"00047285","77035910","62820592",365.00,200.00,7,67890.00,"2024-02-04",Early payment discount - negotiated discount (7%) due to order size
"00047844","51840723","98847493",185.00,100.00,0,18500.00,"2018-04-12",""
"00048542","45843534","10099059",78.00,400.00,4,29950.00,"2022-02-09",End-of-quarter promotion - small percentage off (4%)
"00048637","67494975","32868828",420.00,2400.00,10,907200.00,"2022-10-27",End-of-quarter promotion - negotiated discount (10%) due to order size
"00050202","98602227","44769200",328.00,1800.00,0,590400.00,"2020-06-14",""
"00052888","98161378","46020613",130.00,1200.00,0,156000.00,"2023-11-22",""
"00054759","37870138","92363534",499.00,100.00,11,44410.00,"2018-07-16",Volume rebate - significant discount (11%) for promotional/clearance
"00056024","24869040","27415205",240.00,200.00,1,47520.00,"2019-12-17",Early payment discount - small percentage off (1%)
"00060907","45753143","91887369",457.00,100.00,7,42500.00,"2019-07-02",Bulk order discount - negotiated discount (7%) due to order size
"00062152","18347887","95004803",28.00,1500.00,8,38640.00,"2019-11-07",Volume rebate - negotiated discount (8%) due to order size
